,pubmedID,ArticleTitle,AbstractText,PubYear,PubMonth
155,11424102,Cutaneous seeding after ultrasound-guided percutaneous ethanol injection for treatment of hepatocellular carcinoma.,"Cutaneous seeding is a rare complication of interventional ultrasound procedures. We describe a case of needle-track cutaneous seeding of hepatocellular carcinoma (HCC) after sonographically guided percutaneous ethanol injection (PEI). In our case, the seeding might have been related to the type of needle used and the multiple passes required to treat the liver lesion. Despite the risk of needle-track seeding, PEI remains useful in the treatment of HCC.",0,0
156,11428480,Adenosine-induced ventricular fibrillation.,"The use of adenosine has been suggested as a diagnostic tool in the evaluation of wide ORS complex tachycardia. However, adenosine shortens the antegrade refractoriness of accessory atrioventricular connections and may cause acceleration of the ventricular rate during atrial fibrillation. We observed ventricular fibrillation in 2 patients who presented to the emergency department with pre-excited atrial fibrillation and were given 12 mg of adenosine.",0,0
157,11431864,Steroid-induced acute psychosis in a child with asthma: report of one case.,"A 5-year-old girl was admitted due to severe asthmatic attack. She was treated with methylprednisolone (40 mg i.v. q6h), aminophylline (loading with 5 mg/kg and maintained with 0.6 mg/kg/hr i.v. drip), nebulized terbutaline sulphate (5 mg q6h), oral procaterol 12.5 micrograms bid, along with oxygen therapy. Acute psychotic reaction with visual hallucination, delusion, panic reaction and myoclonic movement of hands developed on day 3 of admission. The patient had no previous history of psychiatric problems. The theophylline level was 9.89 micrograms/ml at the moment of psychotic reaction. After the dose of methylprednisolone was reduced from 40 mg to 20 mg i.v. q6h and shifted to other anti-asthma treatment by procaterol metered dose inhaler via spacer, the psychotic reaction disappeared a few hours later. The psychotic reaction was thought to be due to steroid therapy since no other causes could explain the psychotic reaction.",0,0
158,11435808,Continuous EEG monitoring in a patient with massive carbamazepine overdose.,"The authors report a woman who took a massive overdose (OD) of carbamazepine (CBZ). On admission she was unconscious with absent brainstem reflexes and multifocal stimulus-sensitive myoclonus. Continuous EEG recordings showed a burst-suppression pattern with bursts containing only generalized spikes accompanying myoclonic activity. Myoclonus and EEG bursts were both spontaneous and stimulus induced. With treatment, the serum CBZ concentration declined, and the EEG became more continuous and rhythmic without epileptiform discharges. Unfortunately, the patient died from adult respiratory distress syndrome. Autopsy revealed that cortical and subcortical structures were normal without neuronal necrosis or eosinophilia. Massive CBZ OD may produce a reversible encephalopathy that includes cortical hyperexcitability, a profound burst-suppression EEG pattern, and cranial nerve areflexia. Continuous EEG monitoring is helpful in managing seizures that occur as a complication of CBZ OD, after the course of recovery or worsening, and in providing assistance with prognosis.",2001,3
159,11443640,Massive plasmocytosis due to methimazole-induced bone marrow toxicity.,"Pancytopenia is a rare complication of the thionamide therapy reported secondary to aplastic anemia, the bone marrow being invariably hypocellular. We present a case of a 16-year-old female with Graves' disease who presented with massive bone marrow plasmocytosis mimicking multiple myeloma. The patient had already been on methimazole for a month when she was admitted to the Pediatric Unit with the diagnosis of sepsis. CBC revealed pancytopenia. Bone marrow aspirations showed hypocellular-normocellular bone marrow, 98% of plasma cells. At that time, MMI was discontinued and the patient was started on broad-spectrum antibiotics, dexamethasone, and G-CSF. Bone marrow aspiration day +4 still showed hypo-normocellular marrow, with remaining 6% plasma cells. Myeloma screen was negative; ANC >1,000 at day +7, platelets >50,000 at day +24. Twenty-four months after patient's discharge, her clinical condition, CBC, and bone marrow remained normal. To our knowledge this is the first report of pancytopenia due to MMI, where the usual hypoplasia found is replaced by massive plasmocytosis.",2001,8
160,11450788,Antiretroviral-induced hepatic steatosis and lactic acidosis: case report and review of the literature.,"As the prevalence of human immunodeficiency virus (HIV) infection continues to rise the clinician is encountered with a diagnostic challenge. Nonsurgical diseases such as acute colitis or enteritis can appear similar to such true surgical emergencies as abscess, perforation, or mesenteric ischemia. We report a case of fulminant hepatic failure associated with didanosine and masquerading as a surgical abdomen and compare the clinical, biologic, histologic, and ultrastructural findings with reports described previously. This entity should be kept in mind when evaluating the acute abdomen in the HIV-positive patient.",2001,7
161,11452688,Avascular necrosis of bone: the hidden risk of glucocorticoids used as antiemetics in cancer chemotherapy.,The role of antiemetics is invaluable in allowing cancer patients to complete otherwise potentially intolerable chemotherapy. Corticosteroids have an established place in the prevention and treatment of nausea and vomiting due to emetogenic cytotoxic agents. Avascular necrosis of bone is a recognised complication of glucocorticoid treatment--the risk of this increasing with higher doses and longer duration of use. This report details a case of bilateral avascular necrosis of the femoral heads in a patient receiving 'standard' doses of dexamethasone as part of the antiemetic regimen used in cisplatin-based combination chemotherapy.,2001,6
162,11468878,Digestive hemorrhage caused by a Meckel's diverticulum in a metformin-treated patient: is there any connection?,"An obese patient, not diabetic, treated with metformin for some weeks, was referred to us with severe inferior digestive hemorrhage, diagnosed with Meckel's diverticulum. Metformin is described as a glucose-lowering agent for treatment of type 2 diabetes mellitus and as antiobesity drug, though results achieved with this last indication are not conclusive. But metformin has fibrinolytic features by means of diminished plasminogen activator inhibitor 1 activity. Although no coagulation study was done and the Meckel's diverticulum is normally associated with bleeding, the particular intensity of the following hemorrhage may have been favored by metformin.",2001,6
163,11476690,Serratia Marcescens corneal ulcer as a complication of orthokeratology.,"To report a case of Serratia Marcescens corneal ulcer as a complication of orthokeratology treatment.
Case report.
A 9-year-old male who underwent orthokeratology treatment for 6 months suffered from a corneal ulcer. The refractive state of lesion eye was -5.5D/-1.25D x 180 degrees, and visual acuity was hand motion at 30 cm. He wore a retainer lens, rigid gas permeable lens, overnight for 2 months before the corneal ulcer occurred. Ulcer became worse after tobramycin and gentamycin treatment for 2 days. After ciprofloxacin treatment, the ulcer healed and visual acuity recovered to 20/20 with spectacle correction. Cultures of the cornea tissue and contact lens storage solution both grew Serratia Marcescens, which was sensitive to ciprofloxacin.
Overnight wearing of a rigid contact lens is a risk factor for a corneal ulcer.",2001,8
164,11483161,Possible linkage of amprenavir with intracranial bleeding in an HIV-infected hemophiliac.,"The use of protease Inhibitors (PI) has been associated with many adverse effects including increased tendency to bleed, which is particularly problematic in individuals with congenital coagulation disorders. We report the occurrence of spontaneous intracranial bleeding in an human immunodeficiency virus (HIV)-infected adolescent with hemophilia A who was receiving amprenavir (APV). The bleeding resolved on discontinuation of APV. This case report highlights a need for awareness of increased bleeding as a potentially serious complication associated with the use of all currently licensed PIs in individuals with hemophilia.",2001,7
165,11485141,Linear immunoglobulin A bullous dermatosis induced by gemcitabine.,"To report a case of linear immunoglobulin (Ig) A bullous dermatosis (LABD) induced by gemcitabine.
A 59-year-old man was diagnosed with squamous-cell carcinoma of the lung in T4N2M0 stage and treated with cisplatin, vinorelbine, and gemcitabine. Twenty-four hours after the administration of gemcitabine, a symmetric, bullous, herpetiform eruption appeared on his trunk and upper limbs. Histopathologic examination and direct immunofluorescence test were consistent with IgA bullous dermatosis. Cutaneous lesions resolved two weeks after the drug was withdrawn and topical steroid treatment was instituted.
Drug-induced LABD is a variant of classic or idiopathic LABD. Vancomycin is the most frequently implicated drug, but other agents have been reported to cause LABD. According to the Naranjo probability scale, the relationship of gemcitabine treatment with cutaneous eruption in our patient is possible.
We report the first case of gemcitabine-induced LABD. Clinicians should monitor patients receiving this drug for signs of LABD.",0,0
166,11487721,A rare case of advanced ovarian carcinoma who developed difficulty walking 25 days after treatment with weekly paclitaxel.,"Although taxol has shown significant activity in advanced ovarian cancer, peripheral neuropathy is likely to become the major dose-limiting toxicity. We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).",2001,8
167,11489400,Relief by naloxone of morphine-induced spasm of the sphincter of Oddi in a post-cholecystectomy patient.,"Spasm of the sphincter of Oddi is a well-recognized effect of the narcotic class of drugs. Although it is usually clinically silent, such spasm occasionally causes debilitating pain that may be mistaken for more serious disorders. We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone. This entity may considered in the differential diagnosis of acute onset of colicky abdominal pain in the patient given narcotics.",2001,8
168,11506739,Myasthenia gravis during low-dose IFN-alpha therapy for chronic hepatitis C.,"We describe the case of a 56-year-old man who had high aminotransferase levels and anti-hepatitis C virus (HCV) antibodies. He underwent liver biopsy and biochemical screening to evaluate whether he would benefit from interferon (IFN) treatment. The patient was discharged with a diagnosis of HCV-related active chronic hepatitis, skin porphyria, and type 2 diabetes. On December 5, 1995, he began therapy with recombinant IFN-alpha at a dose of 3 MIU three times a week. He stopped this therapy in February 1996 because of asthenia, diplopia, headache, and anxiety. During IFN therapy, he had normal aminotransferase levels and no detectable HCV RNA, a condition that persists to the present. Between March and May 1996, the patient was admitted several times to a neurology clinic, where myasthenia gravis was diagnosed and treatment with pyridostigmine and cyclosporine was initiated. This case and others indicate that caution should be exercised in administering IFN because low doses can be correlated with myasthenia gravis in patients without malignancies.",2001,7
169,115078,Cholestatic hepatitis induced by gold.,A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate. Hepatotoxicity in rheumatoid arthritis is well described following a variety of anti-inflammatory preparations but is now a rare complication of gold therapy and the literature on the subject is reviewed.,1979,8
170,11510798,Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.,"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma. The findings from transbronchial lung biopsy and bronchoalveolar lavage (BAL) were consistent with an organizing diffuse alveolar damage pattern. Once extensive microbiological studies proved negative, corticosteroids were given and a complete remission of clinical and radiological abnormalities was achieved. It is concluded that the aforementioned pathological manifestations were due to chemotherapy and included a pulmonary adverse reaction, a feature never previously associated with oxaliplatinum and 5-fluorouracil regimens.",2001,7
171,11514944,Continued occurrence of Accutane-exposed pregnancies.,"Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne. First-trimester pregnancy exposure can cause major birth defects. The manufacturer began a Pregnancy Prevention Program (PPP) in 1988; however, exposed pregnancies continue to occur. In 1996, the manufacturer began a direct-to-consumer advertising campaign, raising concerns of more exposed pregnancies.
We examined trends in Accutane use by reproductive-aged women. We also interviewed a series of 14 women in California who had recent Accutane-exposed pregnancies to identify opportunities for prevention.
The estimated number of Accutane prescriptions for reproductive-aged women has more than doubled in the past 10 years; it is the most widely used teratogenic drug in the United States, with approximately 2.5 per 1,000 reproductive-aged women exposed to Accutane in 1999. One-half of the women interviewed reported seeing an advertisement for prescription acne treatment before taking Accutane. Eight of the 14 women used no contraception at the time of the exposed pregnancy; 13 of the 14 women did not use two forms of contraception. Four of the 14 women did not have pregnancy tests before starting Accutane. None reported seeing all PPP components, and four saw only the information on the pill packet. These 14 pregnancies resulted in four live infants who had no apparent birth defects, one live-born infant with multiple defects, four spontaneous abortions, and five induced abortions.
The increase in Accutane use observed among females may be exacerbated by advertising. Physicians and patients must use more caution with teratogenic prescription drugs. Published 2001 Wiley-Liss, Inc.",2001,9
172,11518127,"Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.","A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever. A lymphocyte stimulation test was reactive to pranlukast. Her clinical symptoms improved with discontinuation of pranlukast and administration of systemic corticosteroid. To our knowledge, this is the first reported case of drug-induced lung disease involving a leukotriene. The steps that can be taken to promptly reach a diagnosis and to successfully treat this life-threatening condition are described.",2001,8
173,11545487,Papillary necrosis associated with the HIV protease inhibitor indinavir.,The HIV protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis. The renal consequences of indinavir-associated nephrotoxicity are uncertain. We report a case of papillary necrosis in a patient treated with indinavir. An asymptomatic HIV-infected woman experienced right-sided renal colicky pain during treatment with indinavir. She passed a non-solid stone and continued indinavir treatment. Intravenous pyelogram performed 20 months later following an episode of left-sided colicky pain showed right-sided papillary necrosis. Indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient. Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.,2001,8
174,11550988,Nephrotoxicity of selective COX-2 inhibitors.,"We describe 2 male patients, a 49-year-old with psoriatic arthritis and impaired renal function and a 43-year-old renal transplant recipient, who both sustained a marked decline in glomerular filtration rate in conjunction with a selective inhibitor of cyclooxygenase-2 (COX-2), rofecoxib. In the second patient, acute renal failure necessitated hemodialysis. Both patients made an uneventful recovery. Our report lends further support to the assumption that COX-2 inhibitors, as a class, can be as nephrotoxic as their nonselective predecessors. Therefore, COX-2 inhibitors should be used with caution in renal transplant recipients and in patients with salt depletion and renal insufficiency.",2001,9
175,11554897,Stupor from lamotrigine toxicity.,"To report that acute lamotrigine poisoning may result in severe encephalopathy.
A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets. Evaluation revealed elevated serum LTG levels and no other etiology for encephalopathy.
LTG was withheld, and the patient experienced a complete recovery in conjunction with reduced serum levels.
LTG overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon. LTG toxicity should be considered in patients taking this drug who have depressed mental status.",2001,8
176,11563738,Tissue distribution of olanzapine in a postmortem case.,"Olanzapine is a relatively new antipsychotic drug used in the United States for the treatment of schizophrenia. Since its release in the United States market in 1996, few cases of fatal acute intoxication have been reported in the literature. This article describes the case of a 25-year-old man found dead at home who had been prescribed olanzapine for schizophrenia. This case is unique because of the measurement of olanzapine in brain tissue obtained from seven regions in addition to the commonly collected biologic matrices. Olanzapine was detected and quantitated by basic liquid-liquid extraction followed by dual-column gas chromatographic analysis with nitrogen phosphorus detection. The assay had a limit of detection of 0.05 mg/L and an upper limit of linearity of 2 mg/L. The presence of olanzapine was confirmed by gas chromatography-mass spectrometry by use of electron impact ionization. The concentrations of olanzapine measured in this case were as follows (mg/L or mg/kg): 0.40 (heart blood), 0.27 (carotid blood), 0.35 (urine), 0.61 (liver), negative (cerebrospinal fluid), 0.33 mg in 50 ml (gastric contents). In the brain, the following distribution of olanzapine was determined (mg/kg): negative (cerebellum), 0.22 (hippocampus), 0.86 (midbrain), 0.16 (amygdala), 0.39 (caudate/putamen), 0.17 (left frontal cortex), and 0.37 (right frontal cortex). The cause of death was determined to be acute intoxication by olanzapine, and the manner of death was accidental.",2001,9
177,11568758,Lichenoid drug eruption to salsalate.,"Cutaneous lichenoid eruptions can arise as a result of exogenous compound exposures. Pharmaceutical drugs, industrial compounds, and inhaled particles have been implicated as causative agents. To date, there have been no recorded cases of lichenoid drug eruptions (LDEs) caused by clinical use of the nonsteroidal anti-inflammatory drug salsalate. We describe a patient who experienced a lichenoid eruption after the initiation of salsalate for relief of arthritic pain. This eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication. LDEs can clinically and histologically resemble idiopathic or classic lichen planus. Integrating drug history, clinical morphology, clinical distribution, and histopathology can aid in the differentiation. As in our patient's case, curative treatment for LDE requires discontinuation of the drug.",2001,10
178,11573852,Amphotericin B-induced seizures in a patient with AIDS.,"To report a case of multiple episodes of seizure activity in an AIDS patent following amphotericin B infusion.
A 46-year-old African-American man experienced recurrent grand mal seizures during intravenous infusion of amphotericin B, then petit mal seizures as the infusion was stopped and the drug concentrations decreased with time. The patients concurrent medications included didanosine, hydroxyzine, promethazine, hydrocortisone, and prochlorperazine. Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.
AIDS and cryptococcal meningitis, both of which the patient had, can potentially cause seizures. The patient had a history of alcohol abuse; alcohol intake as well as withdrawal can also cause seizures. Didanosine also has a potential for inducing seizures. However, these other potential causes of seizure were ruled out. The time course of events suggested that amphotericin B was the cause of the seizures in this AIDS patient.
Amphotericin B seems to be the probable cause of the seizures. To date, only three cases of seizures associated with amphotericin B have been reported in the literature, but healthcare providers should be aware of the potential for this rare adverse effect.",2001,9
179,11576059,Vocal cord paralysis as a consequence of peritonsillar infiltration with bupivacaine.,"Reduction of postoperative pain is an important goal in the perioperative management of tonsillectomy patients. This is particularly the case for children, who often exhibit resistance to intramuscular or rectal administration of drugs. Peritonsillar bupivacaine infiltration, a relatively safe method of pain control, is in some centers frequently used by otolaryngologists for pain relief. We present the case of a 5-year-old girl who developed bilateral vocal cord paralysis following preoperative peritonsillar bupivacaine infiltration. After an uneventful tonsillectomy and extubation, stridor and respiratory distress developed. Bilateral vocal cord paralysis was seen on laryngoscopy. The patient was reintubated and five hours later was successfully extubated without further sequelae. Anesthesiologists and surgeons should be aware of this uncommon complication than can occur with the use of peritonsillar bupivacaine infiltration for pain control in tonsil surgery.",2001,9
180,11590881,Carbamazepine induced right bundle branch block in a Greenlandic patient.,"A 53 year old Greenlandic male was admitted twice over a period of 4 years with a new complete right bundle branch block after ingestion of 10 g and 4 g of carbamazepine respectively. In both instances, reversion of intraventricular conduction to normal occurred within 72 hours, coinciding with clearance of carbamazepine from the blood stream. We recommend routine follow up by ECG of patients over the age of 50 treated with carbamazepine.",2001,8
181,11642488,Cicatricial entropion associated with chronic dipivefrin application.,"To report patients who presented to the oculoplastics department for repair of cicatrical entropion after topical use of dipivefrin. To discuss the possible mechanisms of action and highlight the potential detrimental effects of dipivefrin on palpebral conjunctiva.
Retrospective consecutive noncomparative case series. Nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin.
After cessation of topical dipivefrin application and successful surgical repair of entropion, no recurrence of signs or symptoms has been reported. Moderate lymphocytic infiltration of the substantia propria of the conjunctiva of both upper and lower lid specimens was present, as was scarring and keratinization of the epithelium.
Cicatrization in the substantia propria of the conjunctiva by excessive lymphocytic infiltration after topically administered antiglaucoma drugs including dipivefrin is a possible mechanism of action for entropion.",2001,9
182,11672959,The 3-week sulphasalazine syndrome strikes again.,"A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis. Cervical and inguinal lymph node biopsies showed the features of severe necrotising lymphadenitis, associated with erythrophagocytosis and prominent eosinophilic infiltrates, without viral inclusion bodies, suggestive of an adverse drug reaction.A week later, fulminant drug-induced hepatitis, associated with the presence of anti-nuclear autoantibodies (but not with other markers of autoimmunity), and accompanied by multi-organ failure and sepsis, supervened. She subsequently died some 5 weeks after the commencement of her drug therapy.Post-mortem examination showed evidence of massive hepatocellular necrosis, acute hypersensitivity myocarditis, focal acute tubulo-interstitial nephritis and extensive bone marrow necrosis, with no evidence of malignancy. It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called ""3-week sulphasalazine syndrome"", a rare, but often fatal, immunoallergic reaction to sulphasalazine.",2001,11
183,11688826,Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.,"We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS). A 66-year-old woman was diagnosed as having pulmonary adenocarcinoma with malignant pleural effusion following investigations for cough and dyspnea. After drainage of the effusion she received combination chemotherapy with CDDP and VDS. She developed SIADH 48 hours following chemotherapy. Interestingly, the use of carboplatin (CBDCA) and VDS in the subsequent treatment course was well tolerated indicating that the SIADH was most likely to have been induced by administration of CDDP.",2001,10
184,11696132,Anisocoria from transdermal scopolamine.,"A transdermal scopolamine patch is an effective medication for relieving motion sickness, treating nausea and vomiting from chemotherapy and decreasing withdrawal side-effects from wearing off opioids. A 14-year-old boy with chronic granulomatous disease and severe infection was admitted to the hospital because of left shoulder aspergillus' infection and pain. The patient required high dose opioid to control the shoulder pain. A unilateral fixed and dilated pupil was noted. We assumed this to be related to the advancing central nervous system aspergillosis. After extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.",2001,0
185,11700998,De novo absence status of late onset following withdrawal of lorazepam: a case report.,The aim of this report is to describe the clinical and electroencephalographic findings seen in an elderly woman without previous history of seizures who developed a nonconvulsive generalized status epilepticus following acute withdrawal of lorazepam. Scalp video-EEG monitoring was obtained using the standard 10/20 system of electrode placement. Cognitive and speech functions were specifically tested during the evaluation. Continuous irregular rhythmic generalized 2.0-2.5 Hz sharp-and-slow wave complexes intermixed with spikes and polyspikes more prominent over the frontocentral areas were seen on the EEG. This epileptic activity was continuous and unmodified by sensory stimulation and eyes opening and closing. Intravenous injection of diazepam caused a rapid normalization of the EEG with disappearance of the clinical manifestations. De novo absence status is a specific epileptic condition that should be suspected in all elderly subjects on chronic treatment with psychotropic drugs presenting in a confusional state. An urgent EEG is essential to confirm the diagnosis.,2001,9
186,11703329,Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.,"Hereditary motor and sensory neuropathy type 1 (HMSN-1) is an autosomal dominant disorder, which is usually not associated with neoplastic diseases. The disease predisposes to severe vincristine neurotoxicity. We report a 31-year-old women with recurrent Hodgkin's lymphoma and unrecognized HMSN-1 who developed severe motor neuropathy 3 weeks after the first cycle of treatment including 2 mg of vincristine. HMSN is diagnosed in most cases retrospectively, usually suggested by the observation of foot abnormalities or family history. Recognizing early signs of HMSN, such as areflexia and pes cavus deformity, can prevent severe neurotoxicity of polychemotherapy by avoiding vincristine.",2001,11
187,11706664,Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.,Combination antimalarial therapy is being explored to delay development of resistance to falciparum malaria. This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate. Use of these combinations should be closely monitored.,0,0
188,11712064,Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).,Photochemotherapy with psoralens and UVA (PUVA) is widely used in the treatment of psoriasis and many other skin conditions. Cutaneous adverse reactions to 8-methoxypsoralen (8-MOP) appear to be rare and may be difficult to distinguish from phototoxicity or UV-induced polymorphic light eruption. We describe a patient who had a systemic allergic contact dermatitis to 8-MOP develop during her second course of PUVA treatment for psoriasis.,2001,12
189,11719751,Treatment of anticholinergic-induced ileus with neostigmine.,"A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention. An abdominal radiograph revealed gross fecal loading. He was initially treated with intravenous fluids and opiate analgesia. Subsequently, a diagnosis of anticholinergic poisoning was made, based on tachycardia, delirium, dry mucosa, and reduced bowel sounds. Treatment with tacrine reversed the delirium, and a history of repeated benztropine use was obtained. Persistent ileus was treated with repeated doses of neostigmine, and gastrointestinal motility returned with prompt defecation. Neostigmine appears to be useful in reversing ileus caused by anticholinergic drug overdose. Theoretically, it may be useful in reversing anticholinergic ileus resulting from acute drug overdose, allowing or enhancing decontamination, but the safety and potential efficacy of neostigmine in this scenario have not been established.",2001,12
190,11722307,Agranulocytosis and granulocytopenia associated with quetiapine.,"Quetiapine is a recently introduced atypical antipsychotic. Although adverse effects are mainly mild, more serious infrequent adverse effects including leucopenia are mentioned.
We describe three case-reports concerning haematological adverse effects of quetiapine.
Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.
Although a definite association has not been proven, clinicians should be aware of the possibility of agranulocytosis while using quetiapine. Further post-marketing surveys are required.",2001,10
191,11724089,Ofloxacin: a probable cause of toxic epidermal necrolysis.,"To report a fatal case of toxic epidermal necrolysis in a man who was treated with oral ofloxacin for epididymitis.
A 75-year-old white man received 23.6 grams of ofloxacin over a 51-day period for epididymitis. He experienced a severe skin reaction diagnosed as toxic epidermal necrolysis. The man died from complications related to toxic epidermal necrolysis.
Toxic epidermal necrolysis is an infrequent, yet often fatal, severe, systemic, cutaneous disease most often the result of an adverse drug reaction. Fluoroquinolones have rarely been implicated in cases of toxic epidermal necrolysis. A MEDLINE search from 1966 to December 2000 revealed no reports of toxic epidermal necrolysis, erythema multiforme, or Stevens-Johnson syndrome due to ofloxacin therapy. However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given. This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.
There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis. There are a few case reports of other fluoroquinolones that have been associated with toxic epidermal necrolysis. It is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.",2001,11
192,11737689,Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.,"Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia. A girl with cystic fibrosis and cyclic neutropenia developed an erythematous papular eruption without fever or neutrophilia 7 months after commencing therapy with G-CSF. A skin biopsy specimen revealed microscopic, sterile, neutrophilic abscesses. A boy with chronic neutropenia and recurrent inflammatory skin lesions developed multiple erythematous nodules following administration of G-CSF. A biopsy specimen showed neutrophilic panniculitis. We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.",0,0
193,1174301,Triiodothyronine-induced thyrotoxicosis in ophthalmic Graves disease.,A euthyroid woman with ophthalmic Graves disease developed endogenous hyperthyroidism coincident with T3 suppression test. There is a putative role of liothyronine administration in precipitating or activating hyperthyroidism. Aberrancies in T3 suppression testing in graves disease occur.,1975,9
194,11749112,Visual fields and tiagabine: a quandary.,"This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment. These defects were apparently reversible upon the discontinuation of tiagabine. Controlled clinical trials are indicated to determine if this finding is indicative of a class effect for all GABAergic antiepileptic drugs (AEDs), as already noted with vigabatrin, or if this case represents an incidental finding with tiagabine (41 references).",2001,10
195,11757641,Pulmonary toxicity with mefloquine.,"This report presents a case of acute lung injury developing within hours after administration of mefloquine for a low-level Plasmodium falciparum malaria, which was persistent despite halofantrine therapy. Extensive microbiological investigation remained negative and video-assisted thoracoscopic lung biopsy demonstrated diffuse alveolar damage. The evolution was favourable without treatment. This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine. Glucose-6-phosphate dehydrogenase deficiency was present in the former case and was thought to contribute to the lung injury. However, glucose-phosphate dehydrogenase was normal in the present case, suggesting that it is not a predisposing condition to the lung injury.",2001,11
196,11762672,Reversal of severe methanol-induced visual impairment: no evidence of retinal toxicity due to fomepizole.,"We report a case of methanol poisoning exhibiting complete recovery from severe visual impairment following treatment with ethanol, fomepizole, and hemodialysis. An adult male presented with central blindness after ingesting methanol. Initial visual acuity was <20/800 (finger counting at 1-2 feet) with retinal edema on fundoscopy, arterial pH 7.19, methanol 97 mg/dL (30 mmol/L), formate 14.3 mmol/L, and ethanol undetectable. The patient was treated with ethanol, then fomepizole intravenously (15, 10, then 5 mg/kg), and hemodialysis. Methanol metabolism was effectively blocked by fomepizole even after ethanol had been eliminated, and the patient recovered 20/20 vision by day 14 with normal fundoscopy. This case report confirms highly efficient inhibition of alcohol dehydrogenase by fomepizole, as well as demonstrate the safety of fomepizole in a patient already exhibiting end-organ retinal toxicity. The potential for fomepizole to inhibit retinol dehydrogenase, an isoenzyme of alcohol dehydrogenase essential to vision, did not appear to be clinically significant in this symptomatic methanol-poisoned patient.",2001,0
