,Type,UI,PubmedID,NameOfSubstance,RegistryNumber,MeshHeadingID,DescriptorName,MajorTopicYN,QualifierName
4607,DescriptorName,D003131,11961411,,,1,Combined Modality Therapy,N,
4608,DescriptorName,D003920,11961411,,,2,Diabetes Mellitus,N,
4609,DescriptorName,D006801,11961411,,,3,Humans,N,
4610,DescriptorName,D016899,11961411,,,4,Interferon-beta,N,
4611,QualifierName,Q000009,11961411,,,4,,Y,adverse effects
4612,DescriptorName,D007678,11961411,,,5,Kidney Glomerulus,N,
4613,QualifierName,Q000473,11961411,,,5,,N,pathology
4614,DescriptorName,D008297,11961411,,,6,Male,N,
4615,DescriptorName,D008545,11961411,,,7,Melanoma,N,
4616,QualifierName,Q000188,11961411,,,7,,Y,drug therapy
4617,DescriptorName,D008875,11961411,,,8,Middle Aged,N,
4618,DescriptorName,D009402,11961411,,,9,"Nephrosis, Lipoid",N,
4619,QualifierName,Q000209,11961411,,,9,,Y,etiology
4620,DescriptorName,D011507,11961411,,,10,Proteinuria,N,
4621,QualifierName,Q000209,11961411,,,10,,N,etiology
4622,Chemical,D000890,11972105,Anti-Infective Agents,0,,,,
4623,Chemical,D000964,11972105,"Antimetabolites, Antineoplastic",0,,,,
4624,Chemical,D002939,11972105,Ciprofloxacin,5E8K9I0O4U,,,,
4625,Chemical,D008727,11972105,Methotrexate,YL5FZ2Y5U1,,,,
4626,DescriptorName,D000293,11972105,,,1,Adolescent,N,
4627,DescriptorName,D000890,11972105,,,2,Anti-Infective Agents,N,
4628,QualifierName,Q000009,11972105,,,2,,Y,adverse effects
4629,DescriptorName,D000964,11972105,,,3,"Antimetabolites, Antineoplastic",N,
4630,QualifierName,Q000009,11972105,,,3,,Y,adverse effects
4631,DescriptorName,D001859,11972105,,,4,Bone Neoplasms,N,
4632,QualifierName,Q000188,11972105,,,4,,N,drug therapy
4633,DescriptorName,D002648,11972105,,,5,Child,N,
4634,DescriptorName,D002675,11972105,,,6,"Child, Preschool",N,
4635,DescriptorName,D002939,11972105,,,7,Ciprofloxacin,N,
4636,QualifierName,Q000009,11972105,,,7,,Y,adverse effects
4637,DescriptorName,D004347,11972105,,,8,Drug Interactions,N,
4638,DescriptorName,D005260,11972105,,,9,Female,N,
4639,DescriptorName,D006801,11972105,,,10,Humans,N,
4640,DescriptorName,D008297,11972105,,,11,Male,N,
4641,DescriptorName,D008727,11972105,,,12,Methotrexate,N,
4642,QualifierName,Q000009,11972105,,,12,,Y,adverse effects
4643,DescriptorName,D009447,11972105,,,13,Neuroblastoma,N,
4644,QualifierName,Q000188,11972105,,,13,,N,drug therapy
4645,DescriptorName,D012516,11972105,,,14,Osteosarcoma,N,
4646,QualifierName,Q000188,11972105,,,14,,N,drug therapy
4647,Chemical,D053799,11978156,2-Pyridinylmethylsulfinylbenzimidazoles,0,,,,
4648,Chemical,D000897,11978156,Anti-Ulcer Agents,0,,,,
4649,Chemical,D064747,11978156,Lansoprazole,0K5C5T2QPG,,,,
4650,Chemical,D009853,11978156,Omeprazole,KG60484QX9,,,,
4651,DescriptorName,D053799,11978156,,,1,2-Pyridinylmethylsulfinylbenzimidazoles,N,
4652,DescriptorName,D000368,11978156,,,2,Aged,N,
4653,DescriptorName,D000369,11978156,,,3,"Aged, 80 and over",N,
4654,DescriptorName,D000897,11978156,,,4,Anti-Ulcer Agents,N,
4655,QualifierName,Q000008,11978156,,,4,,N,administration & dosage
4656,DescriptorName,D006471,11978156,,,5,Gastrointestinal Hemorrhage,N,
4657,QualifierName,Q000188,11978156,,,5,,N,drug therapy
4658,DescriptorName,D006801,11978156,,,6,Humans,N,
4659,DescriptorName,D064747,11978156,,,7,Lansoprazole,N,
4660,DescriptorName,D008297,11978156,,,8,Male,N,
4661,DescriptorName,D009853,11978156,,,9,Omeprazole,N,
4662,QualifierName,Q000008,11978156,,,9,,N,administration & dosage
4663,DescriptorName,D013276,11978156,,,10,Stomach Ulcer,N,
4664,QualifierName,Q000150,11978156,,,10,,N,complications
4665,DescriptorName,D013921,11978156,,,11,Thrombocytopenia,N,
4666,QualifierName,Q000139,11978156,,,11,,Y,chemically induced
4667,Chemical,D011837,11984077,Radiation-Protective Agents,0,,,,
4668,Chemical,D004999,11984077,Amifostine,M487QF2F4V,,,,
4669,DescriptorName,D004999,11984077,,,1,Amifostine,N,
4670,QualifierName,Q000009,11984077,,,1,,Y,adverse effects
4671,DescriptorName,D000707,11984077,,,2,Anaphylaxis,N,
4672,QualifierName,Q000139,11984077,,,2,,Y,chemically induced
4673,DescriptorName,D003131,11984077,,,3,Combined Modality Therapy,N,
4674,DescriptorName,D003882,11984077,,,4,Dermatomyositis,N,
4675,QualifierName,Q000150,11984077,,,4,,N,complications
4676,DescriptorName,D006801,11984077,,,5,Humans,N,
4677,DescriptorName,D008279,11984077,,,6,Magnetic Resonance Imaging,N,
4678,DescriptorName,D008297,11984077,,,7,Male,N,
4679,DescriptorName,D008875,11984077,,,8,Middle Aged,N,
4680,DescriptorName,D009303,11984077,,,9,Nasopharyngeal Neoplasms,N,
4681,QualifierName,Q000150,11984077,,,9,,N,complications
4682,DescriptorName,D011837,11984077,,,10,Radiation-Protective Agents,N,
4683,QualifierName,Q000009,11984077,,,10,,Y,adverse effects
4684,DescriptorName,D014057,11984077,,,11,"Tomography, X-Ray Computed",N,
4685,Chemical,D003024,11999915,Clozapine,J60AR2IKIC,,,,
4686,DescriptorName,D000328,11999915,,,1,Adult,N,
4687,DescriptorName,D000380,11999915,,,2,Agranulocytosis,N,
4688,QualifierName,Q000097,11999915,,,2,,N,blood
4689,DescriptorName,D003024,11999915,,,3,Clozapine,N,
4690,QualifierName,Q000009,11999915,,,3,,Y,adverse effects
4691,DescriptorName,D005260,11999915,,,4,Female,N,
4692,DescriptorName,D006801,11999915,,,5,Humans,N,
4693,DescriptorName,D008297,11999915,,,6,Male,N,
4694,DescriptorName,D012559,11999915,,,7,Schizophrenia,N,
4695,QualifierName,Q000097,11999915,,,7,,N,blood
4696,Chemical,D014150,12013364,Antipsychotic Agents,0,,,,
4697,Chemical,D001569,12013364,Benzodiazepines,12794-10-4,,,,
4698,Chemical,D010890,12013364,Pirenzepine,3G0285N20N,,,,
4699,Chemical,D000077152,12013364,Olanzapine,N7U69T4SZR,,,,
4700,DescriptorName,D014150,12013364,,,1,Antipsychotic Agents,N,
4701,QualifierName,Q000009,12013364,,,1,,Y,adverse effects
4702,DescriptorName,D001569,12013364,,,2,Benzodiazepines,N,
4703,DescriptorName,D001772,12013364,,,3,Blood Cell Count,N,
4704,DescriptorName,D006212,12013364,,,4,Hallucinations,N,
4705,DescriptorName,D006801,12013364,,,5,Humans,N,
4706,DescriptorName,D008297,12013364,,,6,Male,N,
4707,DescriptorName,D008875,12013364,,,7,Middle Aged,N,
4708,DescriptorName,D009459,12013364,,,8,Neuroleptic Malignant Syndrome,N,
4709,QualifierName,Q000503,12013364,,,8,,Y,physiopathology
4710,DescriptorName,D000077152,12013364,,,9,Olanzapine,N,
4711,DescriptorName,D010890,12013364,,,10,Pirenzepine,N,
4712,QualifierName,Q000009,12013364,,,10,,Y,adverse effects
4713,DescriptorName,D012563,12013364,,,11,"Schizophrenia, Paranoid",N,
4714,QualifierName,Q000150,12013364,,,11,,N,complications
4715,DescriptorName,D012565,12013364,,,12,Schizophrenic Psychology,N,
4716,Chemical,D014150,12022905,Antipsychotic Agents,0,,,,
4717,Chemical,D003006,12022905,Clopenthixol,982-24-1,,,,
4718,Chemical,D009638,12022905,Norepinephrine,X4W3ENH1CV,,,,
4719,DescriptorName,D000328,12022905,,,1,Adult,N,
4720,DescriptorName,D014150,12022905,,,2,Antipsychotic Agents,N,
4721,QualifierName,Q000009,12022905,,,2,,Y,adverse effects
4722,DescriptorName,D003006,12022905,,,3,Clopenthixol,N,
4723,QualifierName,Q000009,12022905,,,3,,Y,adverse effects
4724,DescriptorName,D006801,12022905,,,4,Humans,N,
4725,DescriptorName,D008297,12022905,,,5,Male,N,
4726,DescriptorName,D009638,12022905,,,6,Norepinephrine,N,
4727,QualifierName,Q000627,12022905,,,6,,N,therapeutic use
4728,DescriptorName,D011317,12022905,,,7,Priapism,N,
4729,QualifierName,Q000139,12022905,,,7,,Y,chemically induced
4730,Chemical,D000894,12042592,"Anti-Inflammatory Agents, Non-Steroidal",0,,,,
4731,Chemical,D011720,12042592,Pyrazoles,0,,,,
4732,Chemical,D047069,12042592,Pyrazolones,0,,,,
4733,Chemical,C038362,12042592,pyrazolone,39455-90-8,,,,
4734,Chemical,D004177,12042592,Dipyrone,6429L0L52Y,,,,
4735,DescriptorName,D000380,12042592,,,1,Agranulocytosis,N,
4736,QualifierName,Q000139,12042592,,,1,,N,chemically induced
4737,DescriptorName,D000894,12042592,,,2,"Anti-Inflammatory Agents, Non-Steroidal",N,
4738,QualifierName,Q000009,12042592,,,2,,Y,adverse effects
4739,DescriptorName,D002675,12042592,,,3,"Child, Preschool",N,
4740,DescriptorName,D004177,12042592,,,4,Dipyrone,N,
4741,QualifierName,Q000009,12042592,,,4,,Y,adverse effects
4742,DescriptorName,D004641,12042592,,,5,Emigration and Immigration,N,
4743,QualifierName,Q000706,12042592,,,5,,Y,statistics & numerical data
4744,DescriptorName,D006630,12042592,,,6,Hispanic Americans,N,
4745,QualifierName,Q000523,12042592,,,6,,N,psychology
4746,DescriptorName,D006801,12042592,,,7,Humans,N,
4747,DescriptorName,D007880,12042592,,,8,"Legislation, Drug",N,
4748,QualifierName,Q000592,12042592,,,8,,N,standards
4749,DescriptorName,D008297,12042592,,,9,Male,N,
4750,DescriptorName,D008519,12042592,,,10,"Medicine, Traditional",Y,
4751,DescriptorName,D008800,12042592,,,11,Mexico,N,
4752,DescriptorName,D009503,12042592,,,12,Neutropenia,N,
4753,QualifierName,Q000139,12042592,,,12,,N,chemically induced
4754,DescriptorName,D010146,12042592,,,13,Pain,N,
4755,QualifierName,Q000188,12042592,,,13,,N,drug therapy
4756,DescriptorName,D011720,12042592,,,14,Pyrazoles,N,
4757,QualifierName,Q000009,12042592,,,14,,N,adverse effects
4758,DescriptorName,D047069,12042592,,,15,Pyrazolones,Y,
4759,DescriptorName,D018805,12042592,,,16,Sepsis,N,
4760,QualifierName,Q000139,12042592,,,16,,N,chemically induced
4761,DescriptorName,D014481,12042592,,,17,United States,N,
4762,Chemical,D000903,12053072,"Antibiotics, Antineoplastic",0,,,,
4763,Chemical,D004921,12053072,Erythropoietin,11096-26-7,,,,
4764,Chemical,D016685,12053072,Mitomycin,50SG953SK6,,,,
4765,DescriptorName,D000903,12053072,,,1,"Antibiotics, Antineoplastic",N,
4766,QualifierName,Q000009,12053072,,,1,,Y,adverse effects
4767,DescriptorName,D003110,12053072,,,2,Colonic Neoplasms,N,
4768,QualifierName,Q000188,12053072,,,2,,N,drug therapy
4769,DescriptorName,D004921,12053072,,,3,Erythropoietin,N,
4770,QualifierName,Q000627,12053072,,,3,,Y,therapeutic use
4771,DescriptorName,D005260,12053072,,,4,Female,N,
4772,DescriptorName,D006463,12053072,,,5,Hemolytic-Uremic Syndrome,N,
4773,QualifierName,Q000139,12053072,,,5,,Y,chemically induced
4774,DescriptorName,D006801,12053072,,,6,Humans,N,
4775,DescriptorName,D008875,12053072,,,7,Middle Aged,N,
4776,DescriptorName,D016685,12053072,,,8,Mitomycin,N,
4777,QualifierName,Q000009,12053072,,,8,,Y,adverse effects
4778,Chemical,D000890,12066972,Anti-Infective Agents,0,,,,
4779,Chemical,D064704,12066972,Levofloxacin,6GNT3Y5LMF,,,,
4780,Chemical,D015242,12066972,Ofloxacin,A4P49JAZ9H,,,,
4781,DescriptorName,D000368,12066972,,,1,Aged,N,
4782,DescriptorName,D000890,12066972,,,2,Anti-Infective Agents,N,
4783,QualifierName,Q000009,12066972,,,2,,Y,adverse effects
4784,DescriptorName,D017714,12066972,,,3,Community-Acquired Infections,N,
4785,QualifierName,Q000188,12066972,,,3,,N,drug therapy
4786,DescriptorName,D005260,12066972,,,4,Female,N,
4787,DescriptorName,D005440,12066972,,,5,Fluid Therapy,N,
4788,DescriptorName,D006801,12066972,,,6,Humans,N,
4789,DescriptorName,D064704,12066972,,,7,Levofloxacin,Y,
4790,DescriptorName,D015242,12066972,,,8,Ofloxacin,N,
4791,QualifierName,Q000009,12066972,,,8,,Y,adverse effects
4792,DescriptorName,D011014,12066972,,,9,Pneumonia,N,
4793,QualifierName,Q000188,12066972,,,9,,N,drug therapy
4794,DescriptorName,D029424,12066972,,,10,"Pulmonary Disease, Chronic Obstructive",N,
4795,QualifierName,Q000150,12066972,,,10,,N,complications
4796,DescriptorName,D012867,12066972,,,11,Skin,N,
4797,QualifierName,Q000473,12066972,,,11,,N,pathology
4798,DescriptorName,D013262,12066972,,,12,Stevens-Johnson Syndrome,N,
4799,QualifierName,Q000473,12066972,,,12,,Y,pathology
4800,Chemical,D000927,12078977,Anticonvulsants,0,,,,
4801,Chemical,D001761,12078977,Bleomycin,11056-06-7,,,,
4802,Chemical,D014747,12078977,Vinblastine,5V9KLZ54CY,,,,
4803,Chemical,D010672,12078977,Phenytoin,6158TKW0C5,,,,
4804,Chemical,D002945,12078977,Cisplatin,Q20Q21Q62J,,,,
4805,DescriptorName,D000328,12078977,,,1,Adult,N,
4806,DescriptorName,D000927,12078977,,,2,Anticonvulsants,N,
4807,QualifierName,Q000627,12078977,,,2,,N,therapeutic use
4808,DescriptorName,D000971,12078977,,,3,Antineoplastic Combined Chemotherapy Protocols,N,
4809,QualifierName,Q000009,12078977,,,3,,Y,adverse effects
4810,DescriptorName,D001761,12078977,,,4,Bleomycin,N,
4811,QualifierName,Q000009,12078977,,,4,,N,adverse effects
4812,DescriptorName,D001927,12078977,,,5,Brain Diseases,N,
4813,QualifierName,Q000139,12078977,,,5,,Y,chemically induced
4814,DescriptorName,D002945,12078977,,,6,Cisplatin,N,
4815,QualifierName,Q000009,12078977,,,6,,N,adverse effects
4816,DescriptorName,D004569,12078977,,,7,Electroencephalography,N,
4817,DescriptorName,D005260,12078977,,,8,Female,N,
4818,DescriptorName,D006801,12078977,,,9,Humans,N,
4819,DescriptorName,D008279,12078977,,,10,Magnetic Resonance Imaging,N,
4820,DescriptorName,D010051,12078977,,,11,Ovarian Neoplasms,N,
4821,QualifierName,Q000188,12078977,,,11,,Y,drug therapy
4822,DescriptorName,D010672,12078977,,,12,Phenytoin,N,
4823,QualifierName,Q000627,12078977,,,12,,N,therapeutic use
4824,DescriptorName,D012640,12078977,,,13,Seizures,N,
4825,QualifierName,Q000188,12078977,,,13,,N,drug therapy
4826,DescriptorName,D014057,12078977,,,14,"Tomography, X-Ray Computed",N,
4827,DescriptorName,D014747,12078977,,,15,Vinblastine,N,
4828,QualifierName,Q000009,12078977,,,15,,N,adverse effects
4829,Chemical,D000970,12086549,Antineoplastic Agents,0,,,,
4830,Chemical,D007376,12086549,Interleukin-2,0,,,,
4831,DescriptorName,D000368,12086549,,,1,Aged,N,
4832,DescriptorName,D000970,12086549,,,2,Antineoplastic Agents,N,
4833,QualifierName,Q000009,12086549,,,2,,Y,adverse effects
4834,DescriptorName,D002292,12086549,,,3,"Carcinoma, Renal Cell",N,
4835,QualifierName,Q000188,12086549,,,3,,N,drug therapy
4836,DescriptorName,D017809,12086549,,,4,Fatal Outcome,N,
4837,DescriptorName,D005260,12086549,,,5,Female,N,
4838,DescriptorName,D006801,12086549,,,6,Humans,N,
4839,DescriptorName,D007376,12086549,,,7,Interleukin-2,N,
4840,QualifierName,Q000009,12086549,,,7,,Y,adverse effects
4841,DescriptorName,D007680,12086549,,,8,Kidney Neoplasms,N,
4842,QualifierName,Q000188,12086549,,,8,,N,drug therapy
4843,DescriptorName,D013262,12086549,,,9,Stevens-Johnson Syndrome,N,
4844,QualifierName,Q000209,12086549,,,9,,Y,etiology
4845,Chemical,D010952,12092878,Plasma Substitutes,0,,,,
4846,Chemical,D013386,12092878,Succinates,0,,,,
4847,Chemical,C060085,12092878,succinylated gelatin,39340-57-3,,,,
4848,Chemical,D005780,12092878,Gelatin,9000-70-8,,,,
4849,DescriptorName,D003875,12092878,,,1,Drug Eruptions,N,
4850,QualifierName,Q000209,12092878,,,1,,Y,etiology
4851,DescriptorName,D004342,12092878,,,2,Drug Hypersensitivity,N,
4852,QualifierName,Q000517,12092878,,,2,,Y,prevention & control
4853,DescriptorName,D005780,12092878,,,3,Gelatin,N,
4854,QualifierName,Q000009,12092878,,,3,,Y,adverse effects
4855,DescriptorName,D006801,12092878,,,4,Humans,N,
4856,DescriptorName,D020896,12092878,,,5,Hypovolemia,N,
4857,QualifierName,Q000188,12092878,,,5,,Y,drug therapy
4858,DescriptorName,D008297,12092878,,,6,Male,N,
4859,DescriptorName,D008875,12092878,,,7,Middle Aged,N,
4860,DescriptorName,D010952,12092878,,,8,Plasma Substitutes,N,
4861,QualifierName,Q000009,12092878,,,8,,Y,adverse effects
4862,DescriptorName,D013386,12092878,,,9,Succinates,N,
4863,QualifierName,Q000009,12092878,,,9,,Y,adverse effects
4864,Chemical,D000927,12095907,Anticonvulsants,0,,,,
4865,Chemical,D014635,12095907,Valproic Acid,614OI1Z5WI,,,,
4866,DescriptorName,D000368,12095907,,,1,Aged,N,
4867,DescriptorName,D000369,12095907,,,2,"Aged, 80 and over",N,
4868,DescriptorName,D000927,12095907,,,3,Anticonvulsants,N,
4869,QualifierName,Q000009,12095907,,,3,,Y,adverse effects
4870,DescriptorName,D003072,12095907,,,4,Cognition Disorders,N,
4871,QualifierName,Q000175,12095907,,,4,,N,diagnosis
4872,DescriptorName,D006801,12095907,,,5,Humans,N,
4873,DescriptorName,D022124,12095907,,,6,Hyperammonemia,N,
4874,QualifierName,Q000139,12095907,,,6,,Y,chemically induced
4875,DescriptorName,D009483,12095907,,,7,Neuropsychological Tests,N,
4876,DescriptorName,D012640,12095907,,,8,Seizures,N,
4877,QualifierName,Q000188,12095907,,,8,,Y,drug therapy
4878,DescriptorName,D014635,12095907,,,9,Valproic Acid,N,
4879,QualifierName,Q000009,12095907,,,9,,Y,adverse effects
4880,Chemical,D003520,12100953,Cyclophosphamide,8N3DW7272P,,,,
4881,DescriptorName,D000328,12100953,,,1,Adult,N,
4882,DescriptorName,D003520,12100953,,,2,Cyclophosphamide,N,
4883,QualifierName,Q000009,12100953,,,2,,N,adverse effects
4884,DescriptorName,D015653,12100953,,,3,Cystectomy,N,
4885,QualifierName,Q000379,12100953,,,3,,N,methods
4886,DescriptorName,D006417,12100953,,,4,Hematuria,N,
4887,QualifierName,Q000175,12100953,,,4,,N,diagnosis
4888,DescriptorName,D006801,12100953,,,5,Humans,N,
4889,DescriptorName,D007890,12100953,,,6,Leiomyosarcoma,N,
4890,QualifierName,Q000175,12100953,,,6,,Y,diagnosis
4891,DescriptorName,D008297,12100953,,,7,Male,N,
4892,DescriptorName,D011379,12100953,,,8,Prognosis,N,
4893,DescriptorName,D019572,12100953,,,9,Retinal Neoplasms,N,
4894,QualifierName,Q000188,12100953,,,9,,Y,drug therapy
4895,DescriptorName,D012175,12100953,,,10,Retinoblastoma,N,
4896,QualifierName,Q000188,12100953,,,10,,Y,drug therapy
4897,DescriptorName,D001749,12100953,,,11,Urinary Bladder Neoplasms,N,
4898,QualifierName,Q000175,12100953,,,11,,Y,diagnosis
4899,DescriptorName,D014547,12100953,,,12,Urinary Diversion,N,
4900,QualifierName,Q000379,12100953,,,12,,N,methods
4901,Chemical,D014150,12107858,Antipsychotic Agents,0,,,,
4902,Chemical,D013469,12107858,Sulpiride,7MNE9M8287,,,,
4903,Chemical,D000077582,12107858,Amisulpride,8110R61I4U,,,,
4904,Chemical,D003024,12107858,Clozapine,J60AR2IKIC,,,,
4905,Chemical,D018967,12107858,Risperidone,L6UH7ZF8HC,,,,
4906,DescriptorName,D000077582,12107858,,,1,Amisulpride,N,
4907,DescriptorName,D014150,12107858,,,2,Antipsychotic Agents,N,
4908,QualifierName,Q000009,12107858,,,2,,Y,adverse effects
4909,DescriptorName,D003024,12107858,,,3,Clozapine,N,
4910,QualifierName,Q000009,12107858,,,3,,N,adverse effects
4911,DescriptorName,D005260,12107858,,,4,Female,N,
4912,DescriptorName,D006801,12107858,,,5,Humans,N,
4913,DescriptorName,D008875,12107858,,,6,Middle Aged,N,
4914,DescriptorName,D009459,12107858,,,7,Neuroleptic Malignant Syndrome,N,
4915,QualifierName,Q000209,12107858,,,7,,Y,etiology
4916,DescriptorName,D018967,12107858,,,8,Risperidone,N,
4917,QualifierName,Q000009,12107858,,,8,,N,adverse effects
4918,DescriptorName,D012559,12107858,,,9,Schizophrenia,N,
4919,QualifierName,Q000188,12107858,,,9,,N,drug therapy
4920,DescriptorName,D013469,12107858,,,10,Sulpiride,N,
4921,QualifierName,Q000009,12107858,,,10,,N,adverse effects
4922,Chemical,D000970,12111771,Antineoplastic Agents,0,,,,
4923,Chemical,D014740,12111771,Vidarabine,FA2DM6879K,,,,
4924,Chemical,C024352,12111771,fludarabine,P2K93U8740,,,,
4925,Chemical,D011241,12111771,Prednisone,VB0R961HZT,,,,
4926,DescriptorName,D000368,12111771,,,1,Aged,N,
4927,DescriptorName,D000970,12111771,,,2,Antineoplastic Agents,N,
4928,QualifierName,Q000009,12111771,,,2,,Y,adverse effects
4929,DescriptorName,D005260,12111771,,,3,Female,N,
4930,DescriptorName,D006801,12111771,,,4,Humans,N,
4931,DescriptorName,D015451,12111771,,,5,"Leukemia, Lymphocytic, Chronic, B-Cell",N,
4932,QualifierName,Q000188,12111771,,,5,,N,drug therapy
4933,DescriptorName,D008171,12111771,,,6,Lung Diseases,N,
4934,QualifierName,Q000139,12111771,,,6,,Y,chemically induced
4935,DescriptorName,D011241,12111771,,,7,Prednisone,N,
4936,QualifierName,Q000627,12111771,,,7,,N,therapeutic use
4937,DescriptorName,D014057,12111771,,,8,"Tomography, X-Ray Computed",N,
4938,DescriptorName,D014740,12111771,,,9,Vidarabine,N,
4939,QualifierName,Q000009,12111771,,,9,,Y,adverse effects
4940,Chemical,D000959,12114387,Antihypertensive Agents,0,,,,
4941,Chemical,D011464,12114387,Epoprostenol,DCR9Z582X0,,,,
4942,DescriptorName,D000959,12114387,,,1,Antihypertensive Agents,N,
4943,QualifierName,Q000009,12114387,,,1,,Y,adverse effects
4944,DescriptorName,D003873,12114387,,,2,"Dermatitis, Exfoliative",N,
4945,QualifierName,Q000139,12114387,,,2,,Y,chemically induced
4946,DescriptorName,D004342,12114387,,,3,Drug Hypersensitivity,N,
4947,QualifierName,Q000473,12114387,,,3,,Y,pathology
4948,DescriptorName,D011464,12114387,,,4,Epoprostenol,N,
4949,QualifierName,Q000009,12114387,,,4,,Y,adverse effects
4950,DescriptorName,D005260,12114387,,,5,Female,N,
4951,DescriptorName,D006801,12114387,,,6,Humans,N,
4952,DescriptorName,D006976,12114387,,,7,"Hypertension, Pulmonary",N,
4953,QualifierName,Q000188,12114387,,,7,,N,drug therapy
4954,DescriptorName,D008875,12114387,,,8,Middle Aged,N,
4955,Chemical,D010975,12121061,Platelet Aggregation Inhibitors,0,,,,
4956,Chemical,D016572,12121061,Cyclosporine,83HN0GTJ6D,,,,
4957,Chemical,D013988,12121061,Ticlopidine,OM90ZUW7M1,,,,
4958,DescriptorName,D001855,12121061,,,1,Bone Marrow Diseases,N,
4959,QualifierName,Q000139,12121061,,,1,,N,chemically induced
4960,DescriptorName,D016572,12121061,,,2,Cyclosporine,N,
4961,QualifierName,Q000008,12121061,,,2,,Y,administration & dosage
4962,DescriptorName,D048909,12121061,,,3,Diabetes Complications,N,
4963,DescriptorName,D003920,12121061,,,4,Diabetes Mellitus,N,
4964,QualifierName,Q000188,12121061,,,4,,N,drug therapy
4965,DescriptorName,D006801,12121061,,,5,Humans,N,
4966,DescriptorName,D008297,12121061,,,6,Male,N,
4967,DescriptorName,D008875,12121061,,,7,Middle Aged,N,
4968,DescriptorName,D010975,12121061,,,8,Platelet Aggregation Inhibitors,N,
4969,QualifierName,Q000009,12121061,,,8,,Y,adverse effects
4970,DescriptorName,D013988,12121061,,,9,Ticlopidine,N,
4971,QualifierName,Q000009,12121061,,,9,,Y,adverse effects
4972,DescriptorName,D016896,12121061,,,10,Treatment Outcome,N,
4973,Chemical,D013844,12126225,Thiazoles,0,,,,
4974,Chemical,D045162,12126225,Thiazolidinediones,0,,,,
4975,Chemical,C089946,12126225,"2,4-thiazolidinedione",AA68LXK93C,,,,
4976,DescriptorName,D000368,12126225,,,1,Aged,N,
4977,DescriptorName,D004487,12126225,,,2,Edema,N,
4978,QualifierName,Q000139,12126225,,,2,,Y,chemically induced
4979,DescriptorName,D006801,12126225,,,3,Humans,N,
4980,DescriptorName,D008297,12126225,,,4,Male,N,
4981,DescriptorName,D008875,12126225,,,5,Middle Aged,N,
4982,DescriptorName,D013844,12126225,,,6,Thiazoles,N,
4983,QualifierName,Q000009,12126225,,,6,,Y,adverse effects
4984,DescriptorName,D045162,12126225,,,7,Thiazolidinediones,Y,
4985,Chemical,D000889,12135176,Anti-Arrhythmia Agents,0,,,,
4986,Chemical,D014700,12135176,Verapamil,CJ0O37KU29,,,,
4987,DescriptorName,D000889,12135176,,,1,Anti-Arrhythmia Agents,N,
4988,QualifierName,Q000009,12135176,,,1,,Y,adverse effects
4989,DescriptorName,D017115,12135176,,,2,Catheter Ablation,N,
4990,DescriptorName,D004562,12135176,,,3,Electrocardiography,N,
4991,DescriptorName,D022062,12135176,,,4,"Electrophysiologic Techniques, Cardiac",N,
4992,DescriptorName,D005260,12135176,,,5,Female,N,
4993,DescriptorName,D006801,12135176,,,6,Humans,N,
4994,DescriptorName,D008297,12135176,,,7,Male,N,
4995,DescriptorName,D008875,12135176,,,8,Middle Aged,N,
4996,DescriptorName,D013617,12135176,,,9,"Tachycardia, Supraventricular",N,
4997,QualifierName,Q000188,12135176,,,9,,Y,drug therapy
4998,DescriptorName,D017180,12135176,,,10,"Tachycardia, Ventricular",N,
4999,QualifierName,Q000139,12135176,,,10,,Y,chemically induced
5000,DescriptorName,D016896,12135176,,,11,Treatment Outcome,N,
5001,DescriptorName,D014700,12135176,,,12,Verapamil,N,
5002,QualifierName,Q000009,12135176,,,12,,Y,adverse effects
5003,Chemical,D000933,12141409,Antifibrinolytic Agents,0,,,,
5004,Chemical,D003404,12141409,Creatinine,AYI8EX34EU,,,,
5005,Chemical,D015119,12141409,Aminocaproic Acid,U6F3787206,,,,
5006,DescriptorName,D058186,12141409,,,1,Acute Kidney Injury,N,
5007,QualifierName,Q000139,12141409,,,1,,Y,chemically induced
5008,DescriptorName,D000368,12141409,,,2,Aged,N,
5009,DescriptorName,D015119,12141409,,,3,Aminocaproic Acid,N,
5010,QualifierName,Q000009,12141409,,,3,,Y,adverse effects
5011,DescriptorName,D000933,12141409,,,4,Antifibrinolytic Agents,N,
5012,QualifierName,Q000009,12141409,,,4,,Y,adverse effects
5013,DescriptorName,D003404,12141409,,,5,Creatinine,N,
5014,QualifierName,Q000097,12141409,,,5,,N,blood
5015,DescriptorName,D005260,12141409,,,6,Female,N,
5016,DescriptorName,D006417,12141409,,,7,Hematuria,N,
5017,DescriptorName,D006801,12141409,,,8,Humans,N,
5018,DescriptorName,D006869,12141409,,,9,Hydronephrosis,N,
5019,QualifierName,Q000000981,12141409,,,9,,N,diagnostic imaging
5020,DescriptorName,D007668,12141409,,,10,Kidney,N,
5021,QualifierName,Q000000981,12141409,,,10,,N,diagnostic imaging
5022,DescriptorName,D009403,12141409,,,11,"Nephrostomy, Percutaneous",N,
5023,DescriptorName,D011859,12141409,,,12,Radiography,N,
5024,DescriptorName,D013927,12141409,,,13,Thrombosis,N,
5025,QualifierName,Q000188,12141409,,,13,,N,drug therapy
5026,DescriptorName,D014463,12141409,,,14,Ultrasonography,N,
